id,screen_name,followers_count
2162611971,KasperYh,454
2407986138,JHIndependence,551
864582860,raphaox,298
1835222144,yokkmokk,113
271428512,isaactrice,93
1418827664,ReesyTime,3721
1313848118,EricDionysius,3568
37389342,stolemyhhheart,190
194177631,jjingob2535,1718
2788386849,justfilmnews,1435
2967108160,Epic_Dog_G,22
407610048,chnnchoo,319
1287176190,Rhi3_,45
1373480772,hannahlashbrook,251
4173966911,clarion_extra,11
1952299320,faithsvt,508
71699447,ash_explains,280
39521180,GoshNewsNow,463
1589563711,DJBahamut,455
50288021,IndustryTrust,1017
2459914740,brickmerge,188
220905339,Manuchaks,234
193182286,JohnSurico,2194
63918706,yohaneskeviin,453
562042709,Angela_J_Bell,309
38781644,okttrinaa,353
1913336826,cathypasky,491
67864026,ThomDestouches,1745
4376499436,JackGoleski,95
61245278,rosekelin1982,3250
3405670870,peachtreebella,783
2956884589,JordanDarling7,140
2934571341,notbbfoxx,32
622138930,Ranae_Clubbs,5104
579490781,Trubludating,24179
3008133540,Zxfrin,140
542617279,kellykietur,499
373682995,hitgirl1977,33
480358897,GaluhNgrh,238
1493571974,ghostiehowell,1062
1374767047,bendypenguin64,1034
3376809801,stationpolly_sp,3113
2413140500,connor_morton7,94
729237925,_SFPR_,967
16023194,chcameron,1381
3064939983,mxxw1025,88
2359028600,shownuxmonsta,767
178549222,tatsumicchi,229
7900432,switzke,871
935063342,tylxrdurdxn,416
108411567,JenniSiri,2997
774101898,glenoakrunner1,661
114176346,AmiableTran,302
1566137936,star_wars_toy,305
2148891789,CallumOG1,10
2803834766,GoldiBad,22
2994275187,NEHuskerNews,126
6621952,TACJ,637
2406972576,pineapplesqueez,358
2224363440,43__Year_VIRGIN,1204
4281508938,NEWSiNi_com,11
1017754022,craigjkov,33
2351021179,namjooily,165
1317942037,rvirane,1370
4281508938,NEWSiNi_com,11
1560525565,sharnonpix13,489
1022298504,A_Piiink,256
2455717236,ayeshah_l,11
199791693,NathanaelSmith,690
993196357,Shine_SulliFx,223
633490169,yuonbora,493
1677778628,KpopstarzUpdate,451
520868529,fyrubiee,3205
45873916,KimberlyPr0bz,297
79664526,logamberat,299
947539758,nomssulli,259
1435067552,Noname73920473,146
343834175,Jransom_,285
2520254164,OUAT_is_life,5631
1321932745,maxiimintty,309
1465246206,saraccaldeira,1174
14055414,lil1pinay,372
58860980,Hephef,1422
18561094,beckettmedia,15565
78355419,bratofagirl78,259
2937797170,mellberr,38450
878826061,onlinefreckles,520
2373317292,scottybikerjet,883
4176855263,Divulgavvideo,95
255529291,chrisifg,13366
1114182282,Birlabhai,384
2996239678,cupcakelover243,16
78099042,News_Guru,1189
237960649,Sedekqiu,201
2347067106,Norma_Cenva,139
3071481931,8bettyhernandez,702
3119025507,RealUrbanChic,2766
33298997,twiddlemeister,313
96366746,SarahARivera,530
1644823885,gokuweedsmoke,146
1618180070,poetdameron,1190
276779625,leggomymeggo4,567
63021856,VeiVeraVeronica,377
108369638,Chef296,531
3400463691,Craig_Ed1,353
475131428,irathvader,457
3900759436,horanisfire,1
1281881,sheseesred,1019
2578894508,outofthetowerh,127
78099042,News_Guru,1189
787879118,bieberoposey,32765
20159935,WTW_StAustell,1225
314949361,stevearfa,640
3904276632,know_wihot,1154
3548409329,alexixlisa,30
548879714,The_Reith,153
2906420711,MarcelWigert,1225
523877376,nasi_lemak_,581
21441402,kelseyr713,1958
26899917,richiefrieman,1631
196633672,mannersqdt,2015
2207843450,JenniferGWise,181
92670401,BethCTV,1992
116718148,DennisFarrell,556
3963146593,WarsVintage,60
31352444,matthew_meadows,1241
3963146593,WarsVintage,60
2965788550,lisa_robert1,61920
892183633,AddyJ1D,1068
2964339741,mishel_ella,46655
2962770649,maria_lily3,56905
2474096155,Linda_Rose1,8718
2473980098,Helen_Parker2,21944
2473834436,Sofia_Vanessa1,38196
2474180017,Diana_Knop,46914
412216321,_meanmeanstride,263
43984532,networkjournal,2397
15285557,moviegeeksunite,4963
245054814,GavinMCraig,361
377172610,Kennehhh_,297
2539184059,HARLEENQUlNZELS,746
493407122,king_ross21,290
169706895,ThomasDrance,10076
2864105003,nilouisee,36
148552966,Gunjan_Patil,5524
2458506478,EtsGunner5,66
271591834,victaker200,864
3221098656,viralpx,6368
19241609,countUP,7371
303427669,Paul51987,381
2156886192,jamescarroll212,549
2338523034,madeinhell1983,21
35473416,nmeunier,1868
24095289,Taurian_B,1108
3132775560,niamhlawless25,64
257564368,ElectropageIt,572
80194421,bonnyjk,389
299846174,Hlepage,4443
708496478,daisyridleys,336
276167948,buzzinorlando,451
276658323,Rss459,26
1274861995,ottoramble,486
386285693,dequincinator,221
255095370,Grant_0,331
40949433,tmak1931,226
296995305,bitemyinfluence,262
2616719960,NinjaSEO2014,2
2458506478,EtsGunner5,66
240317252,cathydrysdale,466
